10,1,x \cdot 10
9.999,8,\frac{(x \cdot 10 \cdot 10-\frac{\frac{x}{10}}{10})}{10}
9.998,10,\frac{(x \cdot 10 \cdot 10-\frac{\frac{x}{10} \cdot 2}{10})}{10}
9.996,12,\frac{(x \cdot 10 \cdot 10-\frac{\frac{x}{10} \cdot 2 \cdot 2}{10})}{10}
9.995,8,(x \cdot 10-\frac{\frac{\frac{x}{10}}{10}}{2})
9.994,12,(x \cdot 10-\frac{\frac{(\frac{x}{10}+\frac{x}{2})}{10}}{10})
9.9925,13,(x \cdot 10-\frac{\frac{\frac{(\frac{x}{2}+x)}{10}}{10}}{2})
9.991,10,(x \cdot 10-\frac{\frac{(x-\frac{x}{10})}{10}}{10})
9.99,6,(x \cdot 10-\frac{\frac{x}{10}}{10})
9.989,10,(x \cdot 10-\frac{\frac{(\frac{x}{10}+x)}{10}}{10})
9.9875,11,(x \cdot 10-\frac{\frac{\frac{\frac{x}{10}}{2}}{2}}{2})
9.986,14,(x \cdot 10-\frac{\frac{(\frac{x}{10} \cdot 2 \cdot 2+x)}{10}}{10})
9.985,11,(x \cdot 10-\frac{\frac{(\frac{x}{2}+x)}{10}}{10})
9.982,12,(x \cdot 10-\frac{\frac{(x-\frac{x}{10}) \cdot 2}{10}}{10})
9.981,13,(x \cdot 10-\frac{(\frac{x}{10} \cdot 2-\frac{\frac{x}{10}}{10})}{10})
9.98,8,(x \cdot 10-\frac{\frac{x}{10} \cdot 2}{10})
9.979,12,(x \cdot 10-\frac{\frac{(\frac{x}{10}+x \cdot 2)}{10}}{10})
9.978,12,(x \cdot 10-\frac{\frac{(\frac{x}{10}+x) \cdot 2}{10}}{10})
9.976,14,(x \cdot 10-\frac{\frac{(\frac{x}{10} \cdot 2+x) \cdot 2}{10}}{10})
9.975,9,(x \cdot 10-\frac{\frac{\frac{x}{10}}{2}}{2})
9.974,14,(x \cdot 10-\frac{(\frac{\frac{x}{10}}{10}+\frac{\frac{x}{2}}{2})}{10})
9.9725,13,(x \cdot 10-\frac{\frac{\frac{(\frac{x}{10}+x)}{10}}{2}}{2})
9.971,14,(x \cdot 10-\frac{\frac{(x \cdot 3-\frac{x}{10})}{10}}{10})
9.97,10,(x \cdot 10-\frac{\frac{x \cdot 3}{10}}{10})
9.96875,14,(x \cdot 10-\frac{\frac{\frac{\frac{\frac{x}{2}}{2}}{2}}{2}}{2})
9.967,14,(x \cdot 10-\frac{\frac{(\frac{x}{10}+x) \cdot 3}{10}}{10})
